"Geo_Code","Prov_Name","CSD_Name","total_pop","median_income","female_ratio","0_14y_ratio","15_24y_ratio","25_44y_ratio","45_over_ratio","non_movers_ratio","trade_cert_ratio","non_uni_dip_ratio","uni_dip_ratio","total_postsec_ratio","primary_ind_ratio","year","period"
"1002030","Newfoundland and Labrador","GRAND LE PIERRE","  381","17056",0.4605,0.3816,0.25,0.2237,0.1579,0.8261,0.0556,0,0,0.0556,0.1905,1981,0
"1002031","Newfoundland and Labrador","DIVISION NO. 2, SUBD. C","  804","10706",0.472,0.3665,0.1863,0.2547,0.205,0.7956,0.0225,0.0899,0.0225,0.1348,0.2745,1981,0
"1002033","Newfoundland and Labrador","RUSHOON","  520","13213",0.4762,0.3429,0.2095,0.2571,0.2095,0.837,0,0.1379,0,0.1379,0,1981,0
"1002034","Newfoundland and Labrador","PARKER'S COVE","  424","11734",0.4643,0.4048,0.2262,0.2381,0.119,0.8553,0.0513,0.0769,0,0.1282,0,1981,0
"1002035","Newfoundland and Labrador","ST. JOSEPH'S","0","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,0
"1002036","Newfoundland and Labrador","TERRENCEVILLE","  796","18986",0.478,0.3711,0.2201,0.2327,0.1824,0.8792,0.0241,0.0602,0.0602,0.1446,0.0577,1981,0
"1002037","Newfoundland and Labrador","RED HARBOUR","  231","14151",0.5217,0.3043,0.1304,0.2826,0.3261,0.6087,0,0.25,0,0.25,0.25,1981,0
"1002038","Newfoundland and Labrador","WOODY ISLAND","10"," 0",0.5,1,0,0.5,0,0.4,0,0,0,0,0.6667,1981,0
"1002039","Newfoundland and Labrador","ENGLISH HARBOUR EAST","  316","26368",0.5156,0.3906,0.1719,0.25,0.1875,0.9839,0.0909,0.1515,0,0.2424,0.1176,1981,0
"1002040","Newfoundland and Labrador","BAINE HARBOUR","208","  0",0.4762,0.2619,0.1429,0.2619,0.2857,0.8947,0.0769,0,0,0.0769,0.1429,1981,0
"1002042","Newfoundland and Labrador","JACQUES FONTAINE","221","  0",0.4773,0.2955,0.2045,0.2727,0.2273,0.6585,0,0.2222,0,0.2222,0,1981,0
"1002044","Newfoundland and Labrador","DIVISION NO. 2, SUBD. L","2","..",0,0,0,0,0,NA,NA,NA,NA,NA,NA,1981,0
"1002048","Newfoundland and Labrador","DIVISION NO. 2, SUBD. K","  888","13026",0.4944,0.2809,0.1404,0.264,0.3146,0.75,0,0.1239,0,0.1239,0.0714,1981,0
"1002055","Newfoundland and Labrador","LITTLE BAY EAST","202","  0",0.4878,0.2927,0.1463,0.2195,0.2195,0.8409,0,0.1,0,0.1,0,1981,0
"1003001","Newfoundland and Labrador","DIVISION NO. 3, SUBD. A","4","..",0,1,0,0,0,NA,NA,NA,NA,NA,NA,1981,0
"1003002","Newfoundland and Labrador","RENCONTRE EAST","230","  0",0.4783,0.2826,0.2391,0.1957,0.2609,0.7907,0,0.08,0.08,0.16,0.2308,1981,0
"1003003","Newfoundland and Labrador","ST. JACQUES-COOMB'S COVE"," 1048","16680",0.5143,0.3,0.1905,0.219,0.281,0.7762,0,0.0492,0.0656,0.1148,0.2763,1981,0
"1003004","Newfoundland and Labrador","BELLEORAM","  565","12412",0.4956,0.3628,0.1947,0.2035,0.2212,0.764,0.0526,0.1053,0,0.1579,0.4074,1981,0
"1003005","Newfoundland and Labrador","POOL'S COVE","244","  0",0.4898,0.2857,0.1224,0.2653,0.2857,0.8936,0,0.1379,0,0.1379,0.25,1981,0
"1003006","Newfoundland and Labrador","DIVISION NO. 3, SUBD. B","0","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,0
"1003008","Newfoundland and Labrador","HARBOUR BRETON"," 2464","17488",0.4949,0.3732,0.1988,0.2596,0.1704,0.789,0.0195,0.0661,0.0233,0.1089,0.0301,1981,0
"1003009","Newfoundland and Labrador","DIVISION NO. 3, SUBD. C","0","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,0
"1003010","Newfoundland and Labrador","SEAL COVE-WHITE BAY","  498","18490",0.51,0.33,0.15,0.26,0.27,0.9655,0.0333,0.0667,0,0.1,0.2609,1981,0
"1003011","Newfoundland and Labrador","HERMITAGE","  863","19002",0.4855,0.3237,0.1908,0.2139,0.2601,0.7922,0,0.0417,0.0312,0.0729,0.1091,1981,0
"1003012","Newfoundland and Labrador","GAULTOIS","  558","19456",0.5135,0.3063,0.2252,0.2613,0.1982,0.8889,0,0.0328,0,0.0328,0.05,1981,0
"1003014","Newfoundland and Labrador","DIVISION NO. 3, SUBD. D","  491","14102",0.4848,0.3434,0.2121,0.2121,0.2222,0.8667,0,0.0784,0,0.0784,0.24,1981,0
"1003015","Newfoundland and Labrador","CONNE RIVER","  588","12256",0.4286,0.395,0.2605,0.1933,0.1597,0.8376,0,0.0364,0.0545,0.0909,0.3529,1981,0
